角色编号,角色名,基准图路径,用户确认原话,SHA256
角色-001,林默,10_角色基准图/角色-001_林默_九宫格.png,我现在都审批过了，都通过,816b88f56a731a64987fa9ad6c244fccc02a6faa2dbee66ba1d1dbfc11115d6a
角色-002,苏晚,10_角色基准图/角色-002_苏晚_九宫格.png,我现在都审批过了，都通过,4548484452b5e81c3231f92a055bee13432054e61788c0d6ce8b9db20c8e514a
角色-003,陈放,10_角色基准图/角色-003_陈放_九宫格.png,我现在都审批过了，都通过,fb82e0b2ea876caf03c4350077dd0a6d1579d199b2b03eebd7e9b37f643f0afa
角色-004,周姐,10_角色基准图/角色-004_周姐_九宫格.png,我现在都审批过了，都通过,bcb17bff1cd9403c81cd92ec4e73b3f0f4c7841374457f08617d3cad354b69a6
角色-005,老赵,10_角色基准图/角色-005_老赵_九宫格.png,我现在都审批过了，都通过,05206034efcc9501f9f9d450db49c33bf1c50f2b4d2c65a880de7f761740b0d2
角色-006,苏母,10_角色基准图/角色-006_苏母_九宫格.png,我现在都审批过了，都通过,5dcf47eb51251eb983a27f77183e71ae33aaba70ad6bf6113c749bd2d3eef1fd
角色-007,商场女孩,10_角色基准图/角色-007_商场女孩_九宫格.png,我现在都审批过了，都通过,c955f140da95ef5335f4d053dcd4b8d94107d0b0c56ccee3970d2b3f85e599b1
